Name of the Manager,Email,Password
Kumar,kumar123@gmail.com,Kumargoat
Das,das123@gmail.com,Dasandco
Jadhav,jadhavkedar@gmail.com,kedarwaste
Lokesh,lokeshdir@gmail.com,lokigoat
Meera,meeradev@gmail.com,meeraomk
Aditya,adihiphop@gmail.com,hiphoptamizha
Harish,harishkrishna@gmail.com,harishkrishna
Sundar,sundarc@gmail.com,sundarc
Nanditha,nanditha@gmail.com,nandithacat
Madhan,madhanbabu@gmail.com,madhangowri
1,1@gmail.com,1
Leo,leodas@gmail.com,restinpeace
Varshi,varshi@gmail.com,varshi
Hello,hello@gmail.com,hello
